company;date;date_month;date_year;code2;setor;subsetor;name;ativo_total;ativo_circulante;passivo_total;passivo_circulante;code;freq;shares;net_revenue;net_profit;growth_profit;net_equity;net_revenue_12;net_profit_12m;ativo;cl;ebit;roe;net_margin;eps;bvps;d_e;divida_bruta;disponibilidades;divida_liquida;Estoque;carteira de credito;depositos;receita de servi
B3SA3;31/03/2015;3;2015;B3SA;financial;Miscellaneous financial services;B3;26497708.03;3118127.104;26497708.03;2215346.944;B3SA3;16;1977000;520443.008;279476;0.2024;19529098.06;2061192;1000387;26497708.03;1.4075;299022.016;0.0512;0.1356;0.506;9.8781;0.10154;1982951.032;2859934.048;-876983.016;0;;;
B3SA3;30/06/2015;6;2015;B3SA;financial;Miscellaneous financial services;B3;26197843.97;2814499.072;26197843.97;1935384.064;B3SA3;17;1977000;554633.984;317990;0.1378;19418074.46;2151046;1068300;26197843.97;1.4542;356616.992;0.055;0.1478;0.5404;9.822;0.1003;1948499.016;2521637.92;-573138.904;0;;;
B3SA3;30/09/2015;9;2015;B3SA;financial;Miscellaneous financial services;B3;30999543.81;11720897.54;30999543.81;4949125.12;B3SA3;18;1977000;598326.976;2012519;5.3289;19612424.12;2203386;2842412;30999543.81;2.3683;380502.976;0.1449;0.9134;1.4377;9.9203;0.1253;2457497.056;11383320.83;-8925823.776;0;;;
B3SA3;31/12/2015;12;2015;B3SA;financial;Miscellaneous financial services;B3;26308896.77;8673785.856;26308896.77;2096785.024;B3SA3;19;1977000;543230.144;-407747;-1.2026;18342097.97;2216634;2202238;26308896.77;4.1367;329836.128;0.1201;-0.1839;1.1139;9.2777;0.1338;2454264.968;8239374.016;-5785109.048;0;;;
B3SA3;31/03/2016;3;2016;B3SA;financial;Miscellaneous financial services;B3;26706540.54;9070336;26706540.54;3107852.032;B3SA3;20;1977000;563507.968;339327;1.8322;18690918.02;2259699;2262089;26706540.54;2.9185;361470.976;0.121;0.1502;1.1442;9.4542;0.1189;2222227.128;8713420.864;-6491193.736;0;;;
B3SA3;30/06/2016;6;2016;B3SA;financial;Miscellaneous financial services;B3;26803804.16;8649731.072;26803804.16;3241252.096;B3SA3;21;1977000;574473.984;-114401;-1.3371;18516078.26;2279539;1829698;26803804.16;2.6686;305688;0.0988;-0.0502;0.9255;9.3657;0.1095;2027660.944;8341904.192;-6314243.248;0;;;
B3SA3;30/09/2016;9;2016;B3SA;financial;Miscellaneous financial services;B3;27152596.99;9067626.496;27152596.99;3497508.096;B3SA3;22;1977000;559145.984;293466;3.5652;18607047.42;2240358;110645;27152596.99;2.5926;113002.976;0.0059;0.131;0.056;9.4118;0.1086;2020081.032;8758937.856;-6738856.824;0;;;
B3SA3;31/12/2016;12;2016;B3SA;financial;Miscellaneous financial services;B3;31155875.84;11612517.38;31155875.84;3657831.936;B3SA3;23;1977000;623653.12;927871;2.1618;19066469.77;2320781;1446263;31155875.84;3.1747;314424.16;0.0759;0.3998;0.7315;9.6441;0.2866;5463632.128;11288938.02;-5825305.888;0;;;
B3SA3;31/03/2017;3;2017;B3SA;financial;Miscellaneous financial services;B3;46014062.59;13804754.94;46014062.59;12904694.78;B3SA3;24;1977000;608332.992;280552;-0.6976;24112145.58;2365606;1387488;46014062.59;1.0697;337876;0.0575;0.1186;0.7018;12.1963;0.2652;6394628.224;13132328.83;-6737700.608;0;;;
B3SA3;30/06/2017;6;2017;B3SA;financial;Miscellaneous financial services;B3;37242310.66;4784099.84;37242310.66;3907659.008;B3SA3;25;1977000;970902.976;163315;-0.4179;24166580.26;2762035;1665204;37242310.66;1.2243;299157.952;0.0689;0.0591;0.8423;12.2239;0.2639;6377204.032;3993860.96;2383343.072;0;;;
B3SA3;30/09/2017;9;2017;B3SA;financial;Miscellaneous financial services;B3;37111316.48;5361602.048;37111316.48;3339870.976;B3SA3;26;1977000;1060764.032;336263;1.059;24458481.67;3263653;1708001;37111316.48;1.6053;467353.024;0.0698;0.103;0.8639;12.3715;0.2317;5666675.104;4527251.008;1139424.096;0;;;
B3SA3;31/12/2017;12;2017;B3SA;financial;Miscellaneous financial services;B3;37579878.4;6506030.08;37579878.4;5494562.816;B3SA3;27;1977000;1033595.904;516110;0.5348;24299693.95;3673596;1296240;37579878.4;1.1841;444157.952;0.0533;0.1405;0.6557;12.2912;0.2319;5634692.992;5647352.96;-12659.968;0;;;
B3SA3;31/03/2018;3;2018;B3SA;financial;Miscellaneous financial services;B3;36987559.94;7509318.144;36987559.94;4347228.16;B3SA3;28;1977000;1111922.048;314723;-0.3902;24635059.38;4177185;1330411;36987559.94;1.7274;509101.056;0.054;0.0753;0.6729;12.4608;0.2272;5596084.096;6756260.192;-1160176.096;0;;;
B3SA3;30/06/2018;6;2018;B3SA;financial;Miscellaneous financial services;B3;37965373.44;8221642.24;37965373.44;4865632.768;B3SA3;29;1977000;1250524.032;724435;1.3018;24751559.96;4456806;1891531;37965373.44;1.6897;718961.024;0.0764;0.1625;0.9568;12.5198;0.242;5990045.056;7472220.992;-1482175.936;0;;;
B3SA3;30/09/2018;9;2018;B3SA;financial;Miscellaneous financial services;B3;38653591.55;8630122.496;38653591.55;5401950.208;B3SA3;30;1977000;1155933.952;465364;-0.3576;24890448.14;4551976;2020632;38653591.55;1.5976;513892.928;0.0812;0.1022;1.0221;12.59;0.2469;6145374.976;7986297.856;-1840922.88;0;;;
B3SA3;31/12/2018;12;2018;B3SA;financial;Miscellaneous financial services;B3;37672243.2;7475617.792;37672243.2;5755788.8;B3SA3;31;1977000;1313534.976;582922;0.2526;25032968.33;4831915;2087444;37672243.2;1.2988;656710.976;0.0834;0.1206;1.0559;12.6621;0.1801;4509159.04;6842112.992;-2332953.952;0;;;
B3SA3;31/03/2019;3;2019;B3SA;financial;Miscellaneous financial services;B3;38714220.54;8800334.848;38714220.54;6339664.896;B3SA3;32;1977000;1378242.048;606198;0.0399;25276788.28;5098235;2378919;38714220.54;1.3881;713250.048;0.0941;0.1189;1.2033;12.7854;0.1797;4542813.056;8037737.024;-3494923.968;0;;;
B3SA3;30/06/2019;6;2019;B3SA;financial;Miscellaneous financial services;B3;40174936.06;10323038.21;40174936.06;6365732.864;B3SA3;33;1977000;1421079.04;654769;0.0801;25332875.02;5268790;2309253;40174936.06;1.6217;741531.008;0.0912;0.1243;1.1681;12.8138;0.2266;5739601.152;9488749.12;-3749147.968;0;;;
B3SA3;30/09/2019;9;2019;B3SA;financial;Miscellaneous financial services;B3;40950870.02;11509549.06;40950870.02;9113131.008;B3SA3;34;1977000;1706592;719830;0.0994;25361785.38;5819448;2563719;40950870.02;1.263;852097.984;0.1011;0.1237;1.2968;12.8284;0.2357;5976595.968;10693511.49;-4716915.52;0;;;
B3SA3;31/12/2019;12;2019;B3SA;financial;Miscellaneous financial services;B3;40027316.22;10469005.31;40027316.22;8055193.088;B3SA3;35;1977000;2070593.792;733369;0.0188;25387999.36;6576507;2714166;40027316.22;1.2997;922111.936;0.1069;0.1115;1.3729;12.8417;0.1719;4364546.944;9471033.44;-5106486.496;0;;;
B3SA3;31/03/2020;3;2020;B3SA;financial;Miscellaneous financial services;B3;41141846.02;11881339.9;41141846.02;9987972.096;B3SA3;36;1977000;1905201.024;1025552;0.3984;24885179.53;7103466;3133520;41141846.02;1.1896;1307391.04;0.1259;0.1444;1.585;12.5873;0.2112;5255341.056;10975705.66;-5720364.608;0;;;
