company;date;date_month;date_year;code2;setor;subsetor;name;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;code;freq;shares;net_revenue;net_profit;growth_profit;net_equity;net_revenue_12;net_profit_12m;ativo;cl;ebit;roe;net_margin;eps;bvps;d/e;divida_bruta;disponibilidades;divida_liquida;Estoque;carteira de credito;depositos;receita de servi
B3SA3;31/03/2014;3;2014;B3SA;financial;Miscellaneous financial services;B3;26000203.78;4425022.976;26000203.78;3142493.952;B3SA3;12;1977000;489684;256142;0.40638;18857039.42;2100460;1070683;26000203.78;1.41000;303355.008;0.06;0.12;0.54;9.54;0.07000;1396254.968;4197858.048;-2801603.08;0;;;
B3SA3;30/06/2014;6;2014;B3SA;financial;Miscellaneous financial services;B3;24419995.65;2800325.888;24419995.65;1674774.016;B3SA3;13;1977000;464780;250077;-0.02368;18638388.05;1965420;969925;24419995.65;1.67000;286563.008;0.05;0.13;0.49;9.43;0.07000;1380784.96;2519925.008;-1139140.048;0;;;
B3SA3;30/09/2014;9;2014;B3SA;financial;Miscellaneous financial services;B3;25240264.7;3025592.064;25240264.7;1888716.032;B3SA3;14;1977000;545987.008;238407;-0.04667;18950344.22;1976016;926755;25240264.7;1.60000;352229.008;0.05;0.12;0.47;9.59;0.08000;1513053.024;2707065.888;-1194012.864;0;;;
B3SA3;31/12/2014;12;2014;B3SA;financial;Miscellaneous financial services;B3;25538263.04;2785239.04;25538263.04;1891832.96;B3SA3;15;1977000;529982.016;232427;-0.02508;18979510.74;2030433;977053;25538263.04;1.47000;284215.984;0.05;0.11;0.49;9.6;0.09000;1666490.944;2462764;-796273.056;0;;;
COGN3;31/03/2014;3;2014;COGN;Cyclic consumption;Miscellaneous;COGNA;4325018.112;1064579.968;4325018.112;446625.984;COGN3;12;417000;674044.992;274757;1.35227;2899293.952;2190277;619015;4325018.112;2.38000;284981;0.21;0.13;1.48;6.95;0.19000;564931.984;528359.008;36572.976;5606;;;
COGN3;30/06/2014;6;2014;COGN;Cyclic consumption;Miscellaneous;COGNA;4355878.912;1071875.968;4355878.912;437708.992;COGN3;13;417000;724958.016;268860;-0.02146;3111671.04;2433709;788364;4355878.912;2.45000;279891;0.25;0.11;1.89;7.46;0.13000;398007.008;485542.992;-87535.984;9166;;;
COGN3;30/09/2014;9;2014;COGN;Cyclic consumption;Miscellaneous;COGNA;15196900.35;1464945.024;15196900.35;1022523.008;COGN3;14;1876610;1145410.048;212998;-0.20777;11168557.06;3062988;873420;15196900.35;1.43000;236021.008;0.08;0.07;0.47;5.95;0.10000;1137281.024;392840.016;744441.008;25035;;;
COGN3;31/12/2014;12;2014;COGN;Cyclic consumption;Miscellaneous;COGNA;15486180.35;1450571.008;15486180.35;945905.024;COGN3;15;1876610;1230061.952;243985;0.14548;11446408.19;3774475;1000600;15486180.35;1.53000;241938.032;0.09;0.06;0.53;6.1;0.08000;942117.984;450764;491353.984;36076;;;
YDUQ3;31/03/2014;3;2014;YDUQ;Cyclic consumption;Miscellaneous;YDUQS PART;2324617.984;1427177.984;2324617.984;344846.016;YDUQ3;12;103000;538204.992;125761;1.78837;1647122.048;1855961;303826;2324617.984;4.14000;106705.008;0.18;0.07;2.95;15.99;0.17000;280048;758097.016;-478049.016;0;;;
YDUQ3;30/06/2014;6;2014;YDUQ;Cyclic consumption;Miscellaneous;YDUQS PART;2364018.944;1459282.944;2364018.944;271435.008;YDUQ3;13;103000;589126.976;85980;-0.31632;1751963.008;2001527;343143;2364018.944;5.38000;79575;0.2;0.04;3.33;17.01;0.15000;269003;787430.984;-518427.984;0;;;
YDUQ3;30/09/2014;9;2014;YDUQ;Cyclic consumption;Miscellaneous;YDUQS PART;3172609.024;1212150.016;3172609.024;342527.008;YDUQ3;14;309089;624755.968;133016;0.54706;2420763.904;2188095;389859;3172609.024;3.54000;131289;0.16;0.06;1.26;7.83;0.12000;290870.008;434893.016;-144023.008;0;;;
YDUQ3;31/12/2014;12;2014;YDUQ;Cyclic consumption;Miscellaneous;YDUQS PART;3514185.984;1475750.016;3514185.984;398764.992;YDUQ3;15;309089;652376.192;80888;-0.39189;2392859.904;2404464;425645;3514185.984;3.70000;88860.016;0.18;0.03;1.38;7.74;0.25000;589172.992;715081.016;-125908.024;0;;;
ABEV3;31/03/2014;3;2014;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;63297044.48;16352306.18;63297044.48;16170390.53;ABEV3;5;15666170;9045071.872;2546639;-0.58209;38922467.2;43825845;12071840;63297044.48;1.01000;3277897.056;0.31;0.06;0.77;2.48;0.07000;2754320.064;7706349.12;-4952029.056;3062296.064;;;
ABEV3;30/06/2014;6;2014;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;62989045.76;15773268.99;62989045.76;14456701.95;ABEV3;6;15670883;8177433.088;2166882;-0.14912;40814459.39;44500145;13096982;62989045.76;1.09000;2434604.96;0.32;0.05;0.84;2.6;0.07000;2656732.992;6653800.128;-3997067.136;3120457.984;;;
ABEV3;30/09/2014;9;2014;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;65125920.77;15446576.13;65125920.77;14590586.88;ABEV3;7;15699508;8624396.288;2813598;0.29846;42395336.83;44661939;13620874;65125920.77;1.06000;3114556.096;0.32;0.06;0.87;2.7;0.06000;2513976.96;6274904.96;-3760928;3158974.976;;;
ABEV3;31/12/2014;12;2014;ABEV;non-cyclical consumption;Drinks;AMBEV S/A;72143200.26;20728420.35;72143200.26;21824784.38;ABEV3;8;15712619;12232882.18;4538394;0.61302;42221595.01;38079783;12065513;72143200.26;0.95000;5459391.936;0.29;0.12;0.77;2.69;0.06000;2622623.04;10435024.96;-7812401.92;3411283.968;;;
BRML3;31/03/2014;3;2014;BRML;financial;real estate exploration;BR MALLS PARTICIPA??ES S/A;19025039.36;1295896.064;19025039.36;1167876.992;BRML3;12;460601;308470.016;53751;-0.84424;8892349.568;1278265;674316;19025039.36;1.11000;231269.992;0.08;0.04;1.46;19.31;0.55000;4908367.232;926288.008;3982079.224;0;;;
BRML3;30/06/2014;6;2014;BRML;financial;real estate exploration;BR MALLS PARTICIPA??ES S/A;19291260.93;1166712.96;19291260.93;1052472;BRML3;13;460601;317052;298739;4.55783;9201435.328;1293538;788410;19291260.93;1.11000;249725;0.09;0.23;1.71;19.98;0.54000;4927728.128;728591.976;4199136.152;0;;;
BRML3;30/09/2014;9;2014;BRML;financial;real estate exploration;BR MALLS PARTICIPA??ES S/A;19309228.03;907100.032;19309228.03;919876.992;BRML3;14;460601;318836.992;-20143;-1.06743;9191640.064;1304365;677431;19309228.03;0.99000;244771;0.07;-0.02;1.47;19.96;0.54000;4956055.04;477922.008;4478133.032;0;;;
BRML3;31/12/2014;12;2014;BRML;financial;real estate exploration;BR MALLS PARTICIPA??ES S/A;19860625.41;1184013.056;19860625.41;837014.016;BRML3;15;460601;380347.936;156030;8.74611;9074166.4;1324707;488377;19860625.41;1.41000;307401.984;0.05;0.12;1.06;19.7;0.56000;5122187.136;674662.976;4447524.16;0;;;
BBDC3;31/03/2014;3;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;904060403.7;533698576.4;904060403.7;596701216.8;BBDC3;12;4207274;5710201.856;3443176;0.11821;73326002.18;7656376;12535085;904060403.7;0.89000;;0.17;0.45;2.98;17.43;0.00000;;;;;109189537.8;335434719.2;2505530.112
BBDC3;30/06/2014;6;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;892034285.6;528668426.2;892034285.6;585638477.8;BBDC3;13;4207274;6208095.232;3777754;0.09717;76800278.53;13583142;13364120;892034285.6;0.90000;;0.17;0.28;3.18;18.25;0.00000;;;;;107602632.7;311667736.6;2591645.952
BBDC3;30/09/2014;9;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;933101633.5;562228166.7;933101633.5;620084658.2;BBDC3;14;4207274;-2107315.968;3874606;0.02564;79242108.93;7694968;14174736;933101633.5;0.91000;;0.18;0.5;3.37;18.83;0.00000;;;;;108944638;293428314.1;2756995.072
BBDC3;31/12/2014;12;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;978703155.2;601147506.7;978703155.2;662024618;BBDC3;15;4207274;-317038.848;3993282;0.03063;81508245.5;9493942;15088818;978703155.2;0.91000;;0.19;0.42;3.59;19.37;0.00000;;;;;113984036.9;305857224.7;2849899.52
BBDC4;31/03/2014;3;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;904060403.7;533698576.4;904060403.7;596701216.8;BBDC4;12;4207274;5710201.856;3443176;0.11821;73326002.18;7656376;12535085;904060403.7;0.89000;;0.17;0.45;2.98;17.43;0.00000;;;;;109189537.8;335434719.2;2505530.112
BBDC4;30/06/2014;6;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;892034285.6;528668426.2;892034285.6;585638477.8;BBDC4;13;4207274;6208095.232;3777754;0.09717;76800278.53;13583142;13364120;892034285.6;0.90000;;0.17;0.28;3.18;18.25;0.00000;;;;;107602632.7;311667736.6;2591645.952
BBDC4;30/09/2014;9;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;933101633.5;562228166.7;933101633.5;620084658.2;BBDC4;14;4207274;-2107315.968;3874606;0.02564;79242108.93;7694968;14174736;933101633.5;0.91000;;0.18;0.5;3.37;18.83;0.00000;;;;;108944638;293428314.1;2756995.072
BBDC4;31/12/2014;12;2014;BBDC;financial;financial intermediaries;BANCO BRADESCO S.A.;978703155.2;601147506.7;978703155.2;662024618;BBDC4;15;4207274;-317038.848;3993282;0.03063;81508245.5;9493942;15088818;978703155.2;0.91000;;0.19;0.42;3.59;19.37;0.00000;;;;;113984036.9;305857224.7;2849899.52
BRAP4;31/03/2014;3;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10962930.69;1151768.96;10962930.69;33193;BRAP4;12;349548;0;332388;1.36916;9114734.592;0;-73289;10962930.69;34.70000;-1449;-0.01;0;-0.21;26.08;0.12000;1072140.992;262718;809422.992;0;;;
BRAP4;30/06/2014;6;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10909861.89;1281654.016;10909861.89;42939;BRAP4;13;349548;0;133139;-0.59945;8967374.848;0;46671;10909861.89;29.85000;-1293;0.01;0;0.13;25.65;0.12000;1100489.984;346865.984;753624;0;;;
BRAP4;30/09/2014;9;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10983848.96;1187986.944;10983848.96;1163958.016;BRAP4;14;349548;0;-20898;-1.15696;9363713.024;0;-455759;10983848.96;1.02000;-2150;-0.05;0;-1.3;26.79;0.12000;1132130.944;208580;923550.944;0;;;
BRAP4;31/12/2014;12;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10598919.17;948974.016;10598919.17;1214912;BRAP4;15;349548;0;-343146;-15.42004;8937995.264;0;101483;10598919.17;0.78000;-2561;0.01;0;0.29;25.57;0.13000;1165108.992;312003.008;853105.984;0;;;
BRAP3;31/03/2014;3;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10962930.69;1151768.96;10962930.69;33193;BRAP3;12;349548;0;332388;1.36916;9114734.592;0;-73289;10962930.69;34.70000;-1449;-0.01;0;-0.21;26.08;0.12000;1072140.992;262718;809422.992;0;;;
BRAP3;30/06/2014;6;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10909861.89;1281654.016;10909861.89;42939;BRAP3;13;349548;0;133139;-0.59945;8967374.848;0;46671;10909861.89;29.85000;-1293;0.01;0;0.13;25.65;0.12000;1100489.984;346865.984;753624;0;;;
BRAP3;30/09/2014;9;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10983848.96;1187986.944;10983848.96;1163958.016;BRAP3;14;349548;0;-20898;-1.15696;9363713.024;0;-455759;10983848.96;1.02000;-2150;-0.05;0;-1.3;26.79;0.12000;1132130.944;208580;923550.944;0;;;
BRAP3;31/12/2014;12;2014;BRAP;Basic materials;Mining;BRADESPAR S/A;10598919.17;948974.016;10598919.17;1214912;BRAP3;15;349548;0;-343146;-15.42004;8937995.264;0;101483;10598919.17;0.78000;-2561;0.01;0;0.29;25.57;0.13000;1165108.992;312003.008;853105.984;0;;;
BBAS3;31/03/2014;3;2014;BBAS;financial;financial intermediaries;BANCO DO BRASIL S.A.;1294187495;753744543.7;1294187495;839101251.6;BBAS3;12;2865417;6739034.112;2774858;-0.10257;71464550.4;24782577;16002213;1294187495;0.90000;;0.22;0.11;5.58;24.94;0.00000;;;;;168309751.8;476578684.9;3889000.96
BBAS3;30/06/2014;6;2014;BBAS;financial;financial intermediaries;BANCO DO BRASIL S.A.;1344627802;739026337.8;1344627802;886841999.4;BBAS3;13;2865417;6363979.776;2790332;0.00558;69442412.54;26298685;11342239;1344627802;0.83000;;0.16;0.11;3.96;24.23;0.00000;;;;;168797798.4;478031527.9;4181239.04
BBAS3;30/09/2014;9;2014;BBAS;financial;financial intermediaries;BANCO DO BRASIL S.A.;1369739624;770692939.8;1369739624;907583225.9;BBAS3;14;2865417;5107283.968;2742817;-0.01703;78845902.85;24906388;11400026;1369739624;0.85000;;0.14;0.11;3.98;27.52;0.00000;;;;;173770588.2;462468341.8;4249320.96
BBAS3;31/12/2014;12;2014;BBAS;financial;financial intermediaries;BANCO DO BRASIL S.A.;1381154685;720435871.7;1381154685;931500720.1;BBAS3;15;2865417;5746210.816;3004845;0.09553;77920206.85;23956509;11312852;1381154685;0.77000;;0.15;0.13;3.95;27.19;0.00000;;;;;180383776.8;468317483;4530575.36
BRKM5;31/03/2014;3;2014;BRKM;Basic materials;Chemicals;BRASKEM;46576476.16;14861169.66;46576476.16;12952383.49;BRKM5;12;797266;11842625.54;405306;15.82048;8259641.056;43516361;705091;46576476.16;1.15000;939335.008;0.09;0.01;0.88;10.36;2.75000;22705558.14;3301563.896;19403994.25;5655285.824;;;
BRKM5;30/06/2014;6;2014;BRKM;Basic materials;Chemicals;BRASKEM;46492164.1;14185679.87;46492164.1;12596811.78;BRKM5;13;797266;10853108.74;128477;-0.68301;8252581.96;44841846;950794;46492164.1;1.13000;649021.056;0.12;0;1.19;10.35;2.16000;17812079.36;3306201.088;14505878.27;5195292.84;;;
BRKM5;30/09/2014;9;2014;BRKM;Basic materials;Chemicals;BRASKEM;48999841.79;15074848.77;48999841.79;12801653.76;BRKM5;14;797266;11723962.37;268999;1.09375;7453485.752;45865541;826878;48999841.79;1.18000;1037307.968;0.11;0.01;1.04;9.35;2.56000;19071557.12;3824647.096;15246910.02;5159880.144;;;
BRKM5;31/12/2014;12;2014;BRKM;Basic materials;Chemicals;BRASKEM;49421750.27;14761198.59;49421750.27;14083292.16;BRKM5;15;797266;11611692.03;61282;-0.77219;6038882.816;46031389;864064;49421750.27;1.05000;844018.656;0.14;0;1.08;7.57;3.37000;20336561.02;4083088.104;16253472.92;5437133.92;;;
BRKM3;31/03/2014;3;2014;BRKM;Basic materials;Chemicals;BRASKEM;46576476.16;14861169.66;46576476.16;12952383.49;BRKM3;12;797266;11842625.54;405306;15.82048;8259641.056;43516361;705091;46576476.16;1.15000;939335.008;0.09;0.01;0.88;10.36;2.75000;22705558.14;3301563.896;19403994.25;5655285.824;;;
BRKM3;30/06/2014;6;2014;BRKM;Basic materials;Chemicals;BRASKEM;46492164.1;14185679.87;46492164.1;12596811.78;BRKM3;13;797266;10853108.74;128477;-0.68301;8252581.96;44841846;950794;46492164.1;1.13000;649021.056;0.12;0;1.19;10.35;2.16000;17812079.36;3306201.088;14505878.27;5195292.84;;;
BRKM3;30/09/2014;9;2014;BRKM;Basic materials;Chemicals;BRASKEM;48999841.79;15074848.77;48999841.79;12801653.76;BRKM3;14;797266;11723962.37;268999;1.09375;7453485.752;45865541;826878;48999841.79;1.18000;1037307.968;0.11;0.01;1.04;9.35;2.56000;19071557.12;3824647.096;15246910.02;5159880.144;;;
