date;ipca_12m
01/09/2011;7.31
01/10/2011;6.97
01/11/2011;6.64
01/12/2011;6.5
01/01/2012;6.22
01/02/2012;5.85
01/03/2012;5.24
01/04/2012;5.1
01/05/2012;4.99
01/06/2012;4.92
01/07/2012;5.2
01/08/2012;5.24
01/09/2012;5.28
01/10/2012;5.45
01/11/2012;5.53
01/12/2012;5.84
01/01/2013;6.15
01/02/2013;6.31
01/03/2013;6.59
01/04/2013;6.49
01/05/2013;6.5
01/06/2013;6.7
01/07/2013;6.27
01/08/2013;6.09
01/09/2013;5.86
01/10/2013;5.84
01/11/2013;5.77
01/12/2013;5.91
01/01/2014;5.59
01/02/2014;5.68
01/03/2014;6.15
01/04/2014;6.28
01/05/2014;6.37
01/06/2014;6.52
01/07/2014;6.5
01/08/2014;6.51
01/09/2014;6.75
01/10/2014;6.59
01/11/2014;6.56
01/12/2014;6.41
01/01/2015;7.14
01/02/2015;7.7
01/03/2015;8.13
01/04/2015;8.17
01/05/2015;8.47
01/06/2015;8.89
01/07/2015;9.56
01/08/2015;9.53
01/09/2015;9.49
01/10/2015;9.93
01/11/2015;10.48
01/12/2015;10.67
01/01/2016;10.71
01/02/2016;10.36
01/03/2016;9.39
01/04/2016;9.28
01/05/2016;9.32
01/06/2016;8.84
01/07/2016;8.74
01/08/2016;8.97
01/09/2016;8.48
01/10/2016;7.87
01/11/2016;6.99
01/12/2016;6.29
01/01/2017;5.35
01/02/2017;4.76
01/03/2017;4.57
01/04/2017;4.08
01/05/2017;3.6
01/06/2017;3
01/07/2017;2.71
01/08/2017;2.46
01/09/2017;2.54
01/10/2017;2.7
01/11/2017;2.8
01/12/2017;2.95
01/01/2018;2.86
01/02/2018;2.84
01/03/2018;2.68
01/04/2018;2.76
01/05/2018;2.86
01/06/2018;4.39
01/07/2018;4.48
01/08/2018;4.19
01/09/2018;4.53
01/10/2018;4.56
01/11/2018;4.05
01/12/2018;3.75
01/01/2019;3.78
01/02/2019;3.89
01/03/2019;4.58
01/04/2019;4.94
01/05/2019;4.66
01/06/2019;3.37
01/07/2019;3.22
01/08/2019;3.43
01/09/2019;2.89
01/10/2019;2.54
01/11/2019;3.27
01/12/2019;4.31
01/01/2020;4.19
01/02/2020;4.01
01/03/2020;3.3
01/04/2020;2.4
01/05/2020;1.88
01/06/2020;2.13
01/07/2020;2.31
01/08/2020;2.44
01/09/2020;3.14
01/10/2020;3.92
01/11/2020;4.31
01/12/2020;4.52
01/01/2021;4.56
01/02/2021;5.2
01/03/2021;6.1
01/04/2021;6.76
01/05/2021;8.06
01/06/2021;8.35
01/07/2021;8.99
